Description,Price,Rating,ReviewCount,Url
Amazon.com eGift Card,$1.00,4.8 out of 5 stars,"(878,262)",https://www.amazon.com/Amazon-eGift-Card-Skating-Penguins/dp/B07YJFBV2P/ref=sr_1_1?keywords=gift+cards&qid=1671478559&sr=8-1
Amazon.com Print at Home Gift Card,$1.00,4.8 out of 5 stars,"(80,178)",https://www.amazon.com/Amazon-Gift-Card-Christmas-Wreath/dp/B08CZ2KMRX/ref=sr_1_2?keywords=gift+cards&qid=1671478559&sr=8-2
Amazon.com Gift Card in a Holiday Gift Box (Various Designs),$25.00,4.9 out of 5 stars,"(171,867)",https://www.amazon.com/Amazon-com-Gift-Card-Reindeer-Ornament/dp/B07FK7L976/ref=sr_1_3?keywords=gift+cards&qid=1671478559&sr=8-3
"Apple Gift Card - App Store, iTunes, iPhone, iPad, AirPods, MacBook, accessories and more (Email Delivery)",$25.00,4.7 out of 5 stars,"(50,425)",https://www.amazon.com/Apple-Gift-Card-accessories-Delivery/dp/B08F3C99KN/ref=sr_1_4?keywords=gift+cards&qid=1671478559&sr=8-4
"Google Play gift code - give the gift of games, apps and more (Email Delivery - US Only)",$25.00,4.4 out of 5 stars,"(40,973)",https://www.amazon.com/Google-Play-Gift-Code-mail/dp/B074T91QTZ/ref=sr_1_5?keywords=gift+cards&qid=1671478559&sr=8-5
DoorDash Gift Cards - Email Delivery,$25.00,4.7 out of 5 stars,"(17,004)",https://www.amazon.com/DoorDash-Gift-Cards-Email-Delivery/dp/B07ZDX292M/ref=sr_1_6?keywords=gift+cards&qid=1671478559&sr=8-6
Amazon.com Gift Card in a Premium Holiday Gift Box (Various Designs),$50.00,4.9 out of 5 stars,"(66,353)",https://www.amazon.com/Amazon-com-Gift-Card-Holiday-Pop-Up/dp/B0719C5P56/ref=sr_1_7?keywords=gift+cards&qid=1671478559&sr=8-7
Best Buy Gift Cards - Email Delivery,$25.00,4.7 out of 5 stars,"(9,951)",https://www.amazon.com/Best-Buy-Gift-Cards-Delivery/dp/B07RTN4C77/ref=sr_1_8?keywords=gift+cards&qid=1671478559&sr=8-8
Amazon.com Gift Card in a Greeting Card (Various Designs),$10.00,4.8 out of 5 stars,"(65,355)",https://www.amazon.com/Amazon-com-1000-Greeting-Wedding-Design/dp/B005DHN818/ref=sr_1_9?keywords=gift+cards&qid=1671478559&sr=8-9
Darden - Email Delivery,$25.00,4.9 out of 5 stars,"(4,532)",https://www.amazon.com/Darden-Restaurants-1_DARDEN_standard-Email-Delivery/dp/B07C3FKJF7/ref=sr_1_10?keywords=gift+cards&qid=1671478559&sr=8-10
Chewy eGift Card – Email Delivery,$20.00,,,https://www.amazon.com/Chewy-eGift-Card-Delivery-Standard/dp/B0BQ31WCRH/ref=sr_1_11?keywords=gift+cards&qid=1671478559&sr=8-11
Uber Gift Card - Email Delivery,$25.00,4.7 out of 5 stars,"(20,489)",https://www.amazon.com/Uber-Gift-Card-Email-Delivery/dp/B079YMX2J6/ref=sr_1_12?keywords=gift+cards&qid=1671478559&sr=8-12
Razer Gold Gift Card - Email Delivery,$25.00,3.6 out of 5 stars,"(2,196)",https://www.amazon.com/Razer-Gold-Card-mail-Delivery/dp/B08QDXC6T4/ref=sr_1_13?keywords=gift+cards&qid=1671478559&sr=8-13
Whole Foods Market Gift Card - Email Delivery,$25.00,4.9 out of 5 stars,"(5,897)",https://www.amazon.com/Whole-Foods-Market-Gift-Cards/dp/B077MX91YD/ref=sr_1_14?keywords=gift+cards&qid=1671478559&sr=8-14
Amazon.com Gift Card in a Premium Gift Box,$50.00,4.8 out of 5 stars,"(19,526)",https://www.amazon.com/Amazon-com-Gift-Card-Premium-Gold/dp/B07DD6YZ7H/ref=sr_1_15?keywords=gift+cards&qid=1671478559&sr=8-15
Sephora Gift Cards - E-mail Delivery,$25.00,4.5 out of 5 stars,"(8,176)",https://www.amazon.com/Sephora-Book-Gift-Card-mail/dp/B01MQQJ896/ref=sr_1_16?keywords=gift+cards&qid=1671478559&sr=8-16
Chipotle Gift Card - Email Delivery,$25.00,4.8 out of 5 stars,"(4,466)",https://www.amazon.com/Chipotle-Mexican-Grill-Card-Delivery/dp/B07ZDWLGQH/ref=sr_1_17?keywords=gift+cards&qid=1671478559&sr=8-17
Amazon.com Gift Card Balance Reload,$0.50,4.6 out of 5 stars,"(371,405)",https://www.amazon.com/Amazon-com-Gift-Card-Balance-Reload/dp/B00IX1HEWA/ref=sr_1_18?keywords=gift+cards&qid=1671478559&sr=8-18
Starbucks Gift Cards - Email Delivery,$25.00,4.9 out of 5 stars,"(25,229)",https://www.amazon.com/Starbucks-Siren-Card-mail-Delivery/dp/B07ZS9XR5D/ref=sr_1_19?keywords=gift+cards&qid=1671478559&sr=8-19
Gap Options Gift Cards - Email Delivery,$25.00,4.9 out of 5 stars,"(1,850)",https://www.amazon.com/Gap-Options-Gift-Cards-mail/dp/B016PASXA2/ref=sr_1_20?keywords=gift+cards&qid=1671478559&sr=8-20
Bath & Body Works Gift Card - Email Delivery,$25.00,4.9 out of 5 stars,"(4,690)",https://www.amazon.com/Bath-Body-Works-Gift-Card/dp/B08KZDM6XX/ref=sr_1_21?keywords=gift+cards&qid=1671478559&sr=8-21
Nordstrom Gift Card - Email Delivery,$25.00,4.7 out of 5 stars,"(2,905)",https://www.amazon.com/Nordstrom-Gift-Cards-E-mail-Delivery/dp/B01M749CK5/ref=sr_1_22?keywords=gift+cards&qid=1671478559&sr=8-22
Netflix Gift Cards - Email Delivery,$25.00,4.8 out of 5 stars,"(15,092)",https://www.amazon.com/Netflix-1_NETFLIX_standard-Email-Delivery/dp/B078J21W75/ref=sr_1_23?keywords=gift+cards&qid=1671478559&sr=8-23
Amazon.com Gift Card in Various Gift Boxes,$25.00,4.9 out of 5 stars,"(96,379)",https://www.amazon.com/Amazon-com-Gift-Black-Classic-Design/dp/B01K8RMDO0/ref=sr_1_24?keywords=gift+cards&qid=1671478559&sr=8-24
Gamestop Gift Cards - E-mail Delivery,$25.00,4.7 out of 5 stars,"(7,726)",https://www.amazon.com/Gamestop-Gift-Cards-E-mail-Delivery/dp/B00MV9FCFQ/ref=sr_1_25?keywords=gift+cards&qid=1671478559&sr=8-25
Amazon.com Gift Card in a Mini Envelope,$10.00,4.9 out of 5 stars,"(102,041)",https://www.amazon.com/Amazon-com-Gift-Card-Mini-Envelope/dp/B077T9WSSN/ref=sr_1_26?keywords=gift+cards&qid=1671478559&sr=8-26
Amazon.com Gift Card in a Reveal (Various Designs),$20.00,4.9 out of 5 stars,"(75,438)",https://www.amazon.com/Amazon-com-Gift-Santa-Chimney-Reveal/dp/B071VCQJ24/ref=sr_1_27?keywords=gift+cards&qid=1671478559&sr=8-27
Delta eGift Card - Email Delivery,$50.00,4.9 out of 5 stars,(34),https://www.amazon.com/Delta-eGift-Card-Email-Delivery/dp/B0B8G316C4/ref=sr_1_28?keywords=gift+cards&qid=1671478559&sr=8-28
Ulta Beauty - Email Delivery,$25.00,4.9 out of 5 stars,"(6,517)",https://www.amazon.com/Ulta-Happy-Birthday-Card-Delivery/dp/B08G18PFF5/ref=sr_1_29?keywords=gift+cards&qid=1671478559&sr=8-29
Champs Sports Gift Card - Email Delivery,$25.00,4.5 out of 5 stars,(257),https://www.amazon.com/Champs-Sports-Gift-Card-Delivery/dp/B08N44PB9X/ref=sr_1_30?keywords=gift+cards&qid=1671478559&sr=8-30
Foot Locker Gift Cards - Email Delivery,$25.00,4.6 out of 5 stars,"(1,269)",https://www.amazon.com/Foot-Locker-Gift-Cards-Delivery/dp/B07TMHZHTJ/ref=sr_1_31?keywords=gift+cards&qid=1671478559&sr=8-31
"Lyft Gift Card - E-mail Delivery — rideshare, bikes, scooters, shared rides, Lyft XL, Lyft Lux, Lux Black, Lux Black XL.",$25.00,4.5 out of 5 stars,"(3,916)",https://www.amazon.com/Lyft-Birthday-Card-Email-Delivery-Birthday/dp/B09QGYJTVQ/ref=sr_1_32?keywords=gift+cards&qid=1671478559&sr=8-32
Instacart Gift Card - Email Delivery,$25.00,4.7 out of 5 stars,"(1,703)",https://www.amazon.com/Instacart-Gift-Card-Email-Delivery/dp/B08QTNVVT6/ref=sr_1_33?keywords=gift+cards&qid=1671478559&sr=8-33
Twitch Gift Cards - Email Delivery (US Only),$25.00,4.7 out of 5 stars,"(1,888)",https://www.amazon.com/Twitch-Gift-Cards-Email-Delivery/dp/B0893JQ2X2/ref=sr_1_34?keywords=gift+cards&qid=1671478559&sr=8-34
Airbnb Gift Cards - Email Delivery,$25.00,4.8 out of 5 stars,(940),https://www.amazon.com/Airbnb-2021-Gift-Cards-Delivery/dp/B093Z1F4QM/ref=sr_1_35?keywords=gift+cards&qid=1671478559&sr=8-35
Columbia Sportswear Gift Cards - Email Delivery,$25.00,4.7 out of 5 stars,(146),https://www.amazon.com/Columbia-Sportswear-Gift-Cards-Delivery/dp/B0828MV7XX/ref=sr_1_36?keywords=gift+cards&qid=1671478559&sr=8-36
Victoria's Secret Gift Cards - Email Delivery,$25.00,4.9 out of 5 stars,"(2,156)",https://www.amazon.com/Victorias-Secret-Gift-Cards-Delivery/dp/B08NY67H1M/ref=sr_1_37?keywords=gift+cards&qid=1671478559&sr=8-37
Hulu $100 Gift Card - Email Delivery,$100.00,4.8 out of 5 stars,(560),https://www.amazon.com/Hulu-100-Gift-Card-Delivery/dp/B08NVS8DQ3/ref=sr_1_38?keywords=gift+cards&qid=1671478559&sr=8-38
Amazon.com Gift Card in a Gift Tag,$10.00,4.9 out of 5 stars,"(8,057)",https://www.amazon.com/Amazon-com-Gift-Card-Red-Holiday/dp/B01LXGGQXW/ref=sr_1_39?keywords=gift+cards&qid=1671478559&sr=8-39
Safeway Gift Card - Email Delivery (Must print eGift to redeem),$25.00,4.5 out of 5 stars,"(2,612)",https://www.amazon.com/Safeway-1_Safeway_standard-E-mail-Delivery/dp/B01FYJMPLS/ref=sr_1_40?keywords=gift+cards&qid=1671478559&sr=8-40
Grubhub Gift Cards - Email Delivery,$25.00,4.8 out of 5 stars,"(4,366)",https://www.amazon.com/Grubhub-Gift-Cards-Email-Delivery/dp/B0817KVYD2/ref=sr_1_41?keywords=gift+cards&qid=1671478559&sr=8-41
Amazon eGift Card - Thanks Note,$50.00,4.9 out of 5 stars,"(2,862)",https://www.amazon.com/Amazon-eGift-Card-Thanks-Note/dp/B07TMN8CQ6/ref=sr_1_42?keywords=gift+cards&qid=1671478559&sr=8-42
Amazon.com Gift Card in a Reveal (Various Designs),$20.00,4.9 out of 5 stars,"(75,438)",https://www.amazon.com/Amazon-com-Reveal-Classic-Black-Design/dp/B014S24DAI/ref=sr_1_43?keywords=gift+cards&qid=1671478559&sr=8-43
Hotels.com Gift Card - Email Delivery,$25.00,4.5 out of 5 stars,"(1,646)",https://www.amazon.com/Hotels-com-Red-Gift-Cards-mail/dp/B01N0Q63M8/ref=sr_1_44?keywords=gift+cards&qid=1671478559&sr=8-44
Amazon.com Gift Card in Gold Hearts Box,$25.00,4.9 out of 5 stars,"(6,254)",https://www.amazon.com/Amazon-com-Gift-Card-Gold-Hearts/dp/B0725JBZT1/ref=sr_1_45?keywords=gift+cards&qid=1671478559&sr=8-45
Pack & Go Swap Gift Card - Email Delivery,$25.00,4.5 out of 5 stars,(248),https://www.amazon.com/Pack-Go-Swap-Gift-Card/dp/B09QGWKS39/ref=sr_1_46?keywords=gift+cards&qid=1671478559&sr=8-46
Amazon.com Gift Card in a Reveal (Various Designs),$20.00,4.9 out of 5 stars,"(75,438)",https://www.amazon.com/Amazon-com-Reveal-Classic-Black-Design/dp/B01K8RL0AI/ref=sr_1_47?keywords=gift+cards&qid=1671478559&sr=8-47
Lowe's Gift Card,$50.00,4.9 out of 5 stars,"(8,484)",https://www.amazon.com/Lowes-200-Gift-Card/dp/B01DFWIIO4/ref=sr_1_48?keywords=gift+cards&qid=1671478559&sr=8-48
